Year,Current_Currency_Thousands,Current_Currency_Millions
1816,55933,55.933
1817,54540,54.54
1818,51493,51.493
1819,51116,51.116
1820,50076,50.076
1821,46658,46.658
1822,43159,43.159
1823,46784,46.784
1824,42602,42.602
1825,41543,41.543
1826,42192,42.192
1827,41612,41.612
1828,41974,41.974
1829,44868,44.868
1830,47043,47.043
1831,57089,57.089
1832,56804,56.804
1833,52731,52.731
1834,50198,50.198
1835,50816,50.816
1836,49118,49.118
1837,51434,51.434
1838,52941,52.941
1839,55788,55.788
1840,64855,64.855
1841,67325,67.325
1842,67548,67.548
1843,65191,65.191
1844,65046,65.046
1845,66692,66.692
1846,82147,82.147
1847,77375,77.375
1848,88411,88.411
1849,85768,85.768
1850,79474,79.474
1851,77054,77.054
1852,78367,78.367
1853,82047,82.047
1854,181660,181.66
1855,168517,168.517
1856,149405,149.405
1857,102953,102.953
1858,101995,101.995
1859,137242,137.242
1860,127488,127.488
1861,213315,213.315
1862,255046,255.046
1863,244631,244.631
1864,281796,281.796
1865,141960,141.96
1866,157352,157.352
1867,152476,152.476
1868,149464,149.464
1869,137449,137.449
1870,198527,198.527
1871,167405,167.405
1872,139429,139.429
1873,150241,150.241
1874,153051,153.051
1875,152611,152.611
1876,183675,183.675
1877,202585,202.585
1878,195261,195.261
1879,167163,167.163
1880,164357,164.357
1881,173957,173.957
1882,182846,182.846
1883,170989,170.989
1884,184046,184.046
1885,186311,186.311
1886,183154,183.154
1887,188342,188.342
1888,212519,212.519
1889,205447,205.447
1890,216177,216.177
1891,206656,206.656
1892,209038,209.038
1893,214397,214.397
1894,224399,224.399
1895,226952,226.952
1896,228861,228.861
1897,261892,261.892
1898,300411,300.411
1899,311501,311.501
1900,378756,378.756
1901,364562,364.562
1902,349528,349.528
1903,336235,336.235
1904,385234,385.234
1905,518252,518.252
1906,418230,418.23
1907,382948,382.948
1908,390599,390.599
1909,414631,414.631
1910,419954,419.954
1911,459425,459.425
1912,483542,483.542
1913,591733,591.733
1914,7415234,7415.234
1915,20577564,20577.564
1916,23587230,23587.23
1917,28974127,28974.127
1918,35362703,35362.703
1919,15677923,15677.923
1920,6206252,6206.252
1921,5492407,5492.407
1922,5171383,5171.383
1923,4813058,4813.058
1924,3650098,3650.098
1925,4554764,4554.764
1926,4619041,4619.041
1927,5379678,5379.678
1928,5749382,5749.382
1929,6165957,6165.957
1930,6919745,6919.745
1931,6761915,6761.915
1932,5172526,5172.526
1933,5625713,5625.713
1934,8184380,8184.38
1935,11523769,11523.769
1936,10914123,10914.123
1937,13914601,13914.601
1938,20915272,20915.272
1939,33169014,33169.014
1940,49873973,49873.973
1941,60717437,60717.437
1942,94176270,94176.27
1943,155471529,155471.529
1944,189029202,189029.202
1945,141895526,141895.526
1946,83440375,83440.375
1947,43557003,43557.003
1948,38541971,38541.971
1949,46324792,46324.792
1950,44599970,44599.97
1951,71159058,71159.058
1952,91374341,91374.341
1953,98536060,98536.06
1954,93281893,93281.893
1955,94373575,94373.575
1956,96860107,96860.107
1957,102801667,102801.667
1958,107686174,107686.174
1959,112517050,112517.05
1960,115406916,115406.916
1961,128071249,128071.249
1962,144156292,144156.292
1963,144841396,144841.396
1964,148873481,148873.481
1965,151336583,151336.583
1966,173806462,173806.462
1967,189069840,189069.84
1968,208739871,208739.871
1969,220997326,220997.326
1970,235064891,235064.891
1971,246810714,246810.714
1972,266874164,266874.164
1973,294960836,294960.836
1974,336290276,336290.276
1975,384465868,384465.868
1976,408744551,408744.551
1977,450833761,450833.761
1978,503767515,503767.515
1979,562264506,562264.506
1980,635269663,635269.663
1981,685721168,685721.168
1982,764026165,764026.165
1983,803131809,803131.809
1984,823978795,823978.795
1985,784008958,784008.958
1986,847477475,847477.475
1987,912585255,912585.255
1988,943981368,943981.368
1989,764904995,764904.995
1990,837505802,837505.802
1991,829532359,829532.359
1992,761367780,761367.78
1993,730578643,730578.643
1994,810659325,810659.325
1995,827677344,827677.344
1996,843327692,843327.692
1997,812444399,812444.399
1998,808708982,808708.982
1999,811979964,811979.964
2000,823444955,823444.955
2001,851652955,851652.955
2002,880343892,880343.892
2003,1012854910,1012854.91
2004,1119300883,1119300.883
2005,1092074892,1092074.892
2006,1161541883,1161541.883
2007,1281797865,1281797.865
2008,1422800829,1422800.829
2009,1469980883,1469980.883
2010,1516416847,1516416.847
2011,1583988874,1583988.874
2012,1570026784,1570026.784
